prediction_id,class
706_201905,1
709_201907,1
710_201907,1
710_201906,1
711_201905,0
716_201906,0
718_201905,1
720_201906,1
721_201905,1
723_201907,1
725_201907,1
726_201905,1
734_201907,1
739_201906,1
739_201907,1
740_201905,1
741_201905,0
743_201905,1
744_201905,1
745_201905,0
746_201907,1
748_201906,1
751_201907,0
753_201906,1
755_201906,0
757_201906,1
759_201905,0
762_201907,1
763_201906,1
764_201905,1
765_201906,1
767_201905,1
770_201907,1
772_201906,0
776_201905,1
778_201906,0
779_201907,1
781_201906,0
785_201906,1
792_201906,1
793_201907,1
795_201906,0
796_201905,1
798_201907,1
800_201905,1
800_201907,1
806_201905,1
807_201905,0
808_201905,1
809_201905,1
812_201907,1
813_201905,0
815_201906,0
820_201907,1
825_201905,0
826_201905,1
827_201906,1
829_201905,1
830_201906,1
831_201906,1
832_201905,0
833_201905,1
834_201905,1
835_201906,0
835_201907,0
835_201905,1
838_201905,1
839_201906,1
839_201907,1
839_201905,1
840_201905,0
841_201907,1
842_201905,1
845_201907,1
847_201906,1
848_201905,0
848_201907,0
851_201905,1
857_201907,0
859_201905,0
860_201906,0
860_201907,0
863_201905,1
864_201906,1
865_201906,0
865_201907,0
867_201906,1
869_201906,0
870_201905,1
872_201906,1
873_201906,1
875_201906,1
876_201906,1
878_201907,1
879_201907,1
880_201906,0
882_201905,1
883_201905,0
885_201906,1
885_201907,1
890_201907,0
891_201907,1
892_201907,1
893_201907,1
897_201906,1
898_201907,1
899_201905,0
900_201905,1
902_201907,1
907_201905,1
908_201907,0
908_201906,0
910_201907,1
910_201906,1
912_201907,0
913_201906,1
915_201906,1
917_201907,0
918_201906,1
920_201906,1
920_201907,1
921_201906,0
923_201905,1
925_201907,1
927_201905,1
929_201906,0
933_201907,1
934_201907,1
935_201906,1
935_201907,1
936_201906,1
940_201907,1
945_201906,1
946_201905,0
947_201907,0
949_201907,0
951_201906,1
953_201907,1
958_201905,1
962_201905,0
964_201906,1
967_201907,1
970_201905,1
971_201905,1
972_201905,1
974_201905,1
975_201905,1
976_201906,1
977_201907,1
978_201907,0
980_201906,1
984_201905,1
985_201905,1
986_201907,1
989_201907,0
990_201907,1
993_201905,1
995_201907,1
995_201905,1
996_201906,1
998_201905,1
999_201906,1
1000_201907,1
1001_201905,1
1002_201907,0
1004_201905,1
1004_201906,1
1006_201906,1
1007_201907,1
1007_201905,1
1009_201905,1
1010_201906,1
1011_201907,0
1012_201905,1
1013_201905,0
1017_201907,0
1021_201905,1
1022_201906,0
1023_201905,1
1024_201905,1
1029_201905,0
1031_201907,1
1034_201906,1
1037_201906,1
1039_201905,1
1041_201905,0
1042_201905,1
1045_201905,1
1045_201907,1
1045_201906,1
1047_201907,0
1048_201907,1
1048_201906,1
1051_201905,1
1052_201907,1
1052_201905,1
1054_201907,1
1055_201906,1
1057_201905,1
1061_201905,0
1062_201906,1
1063_201905,1
1066_201905,1
1067_201905,0
1070_201906,1
1074_201906,1
1075_201905,1
1078_201906,1
1082_201905,1
1084_201905,0
1085_201907,0
1087_201907,1
1089_201906,1
1091_201907,0
1093_201906,1
1096_201906,0
1098_201907,1
1100_201906,1
1101_201906,1
1104_201906,0
1105_201907,1
1107_201906,1
1108_201906,0
1108_201905,0
1109_201905,0
1112_201907,1
1114_201905,1
1114_201906,1
1115_201907,1
1115_201906,1
1118_201906,1
1120_201906,1
1122_201905,1
1125_201907,0
1126_201905,1
1127_201907,1
1128_201905,1
1131_201907,0
1135_201906,1
1136_201906,1
1136_201905,1
1138_201906,1
1139_201905,1
1139_201906,1
1140_201905,1
1141_201905,0
1145_201905,1
1145_201907,0
1147_201906,0
1147_201907,0
1148_201907,0
1151_201906,1
1153_201905,1
1154_201906,1
1155_201906,1
1155_201905,1
1158_201906,1
1161_201906,1
1164_201905,0
1164_201907,0
1165_201906,1
1166_201905,1
1170_201907,1
1171_201905,0
1173_201905,0
1175_201906,1
1177_201905,1
1180_201906,0
1181_201906,1
1181_201905,1
1181_201907,1
1182_201906,0
1183_201905,1
1184_201905,0
1187_201907,1
1188_201906,0
1188_201905,1
1189_201905,1
1190_201907,1
1190_201906,1
1190_201905,1
1192_201906,1
1195_201906,1
1198_201905,0
1199_201906,0
1204_201905,1
1205_201905,1
1207_201907,0
1207_201905,0
1208_201905,1
1209_201906,1
1211_201905,1
1211_201906,1
1213_201906,1
1214_201905,0
1214_201907,0
1215_201907,1
1216_201907,1
1217_201907,0
1218_201907,0
1219_201907,1
1221_201905,1
1224_201906,0
1224_201907,0
1226_201906,1
1229_201905,0
1230_201907,1
1232_201907,0
1233_201905,1
1234_201906,0
1234_201907,0
1237_201906,1
1239_201906,0
1243_201907,1
1244_201905,1
1245_201905,1
1246_201905,1
1248_201905,1
1249_201907,1
1249_201906,1
1250_201906,0
1251_201906,1
1251_201905,1
1253_201906,1
1253_201907,1
1254_201905,0
1255_201905,1
1256_201905,0
1257_201905,1
1258_201905,1
1259_201906,1
1261_201906,0
1261_201905,0
1263_201907,1
1264_201905,1
1268_201906,0
1271_201906,1
1271_201905,1
1272_201905,0
1272_201907,0
1273_201907,1
1274_201906,0
1276_201907,1
1278_201907,1
1279_201907,1
1279_201906,1
1284_201906,0
1285_201905,1
1286_201905,0
1288_201907,0
1289_201906,1
1289_201907,1
1290_201906,1
1291_201905,0
1293_201905,1
1294_201905,1
1294_201907,0
1295_201906,1
1295_201905,1
1296_201907,1
1299_201907,1
1299_201906,1
1300_201905,0
1301_201905,1
1301_201907,1
1301_201906,1
1302_201906,1
1303_201907,1
1304_201906,1
1305_201907,1
1306_201906,1
1309_201905,1
1310_201906,0
1310_201905,0
1313_201907,1
1314_201905,1
1316_201906,0
1317_201905,0
1320_201907,0
1321_201907,0
1321_201905,0
1323_201906,0
1325_201906,0
1326_201906,0
1328_201907,0
1328_201906,0
1329_201907,1
1332_201906,0
1336_201906,0
1336_201905,0
1338_201906,1
1338_201905,1
1339_201906,1
1341_201905,1
1342_201907,0
1344_201907,1
1345_201907,1
1345_201905,1
1347_201907,1
1350_201905,1
1351_201905,1
1354_201907,1
1355_201907,0
1356_201905,1
1356_201907,1
1359_201906,1
1360_201906,0
1362_201905,1
1363_201907,0
1364_201907,1
1365_201906,1
1366_201905,0
1368_201906,0
1368_201905,1
1370_201905,1
1374_201906,0
1375_201905,0
1376_201905,1
1378_201905,1
1379_201907,1
1380_201906,0
1382_201907,0
1384_201905,0
1385_201905,0
1386_201905,0
1390_201905,1
1393_201905,1
1394_201907,0
1394_201906,1
1397_201905,0
1399_201906,1
1401_201905,0
1402_201907,1
1402_201905,1
1405_201907,1
1406_201906,1
1407_201906,1
1408_201907,0
1408_201905,1
1409_201907,0
1411_201907,0
1412_201906,0
1413_201906,1
1415_201905,1
1416_201906,0
1417_201907,0
1420_201907,0
1420_201906,0
1420_201905,0
1421_201905,0
1422_201905,0
1423_201906,0
1426_201906,0
1427_201906,1
1428_201905,1
1429_201906,0
1431_201907,0
1432_201907,1
1434_201905,0
1435_201906,0
1435_201905,0
1436_201905,1
1437_201906,1
1438_201907,0
1439_201906,0
1442_201907,0
1443_201907,0
1444_201906,0
1445_201907,1
1446_201906,1
1448_201907,0
1449_201907,1
1450_201906,1
1451_201906,0
1451_201907,0
1459_201906,1
1459_201907,1
1462_201906,0
1463_201905,0
1463_201906,0
1466_201905,1
1467_201907,1
1468_201907,0
1469_201907,0
1470_201906,0
1471_201907,0
1472_201906,1
1473_201905,0
1474_201907,0
1474_201906,1
1475_201905,1
1476_201905,1
1480_201907,1
1481_201906,1
1482_201906,0
1482_201907,0
1482_201905,0
1483_201906,0
1483_201905,0
1484_201905,1
1487_201907,1
1488_201907,0
1489_201907,1
1493_201906,1
1493_201905,1
1498_201907,1
1503_201906,0
1505_201906,0
1507_201906,1
1508_201906,0
1513_201906,1
1515_201905,1
1516_201907,0
1517_201905,1
1518_201906,1
1519_201907,0
1519_201906,0
1519_201905,0
1523_201905,0
1524_201907,1
1525_201906,1
1525_201905,1
1529_201906,0
1529_201905,0
1530_201907,1
1533_201907,0
1536_201905,1
1537_201907,0
1540_201905,0
1542_201906,1
1542_201907,1
1545_201905,0
1547_201907,0
1549_201907,0
1550_201907,1
1552_201907,0
1553_201905,1
1554_201907,1
1557_201905,1
1558_201907,1
1559_201905,0
1563_201905,1
1565_201905,0
1567_201906,1
1568_201906,0
1572_201905,0
1573_201906,0
1575_201905,0
1576_201907,0
1577_201907,0
1578_201907,0
1580_201906,1
1582_201905,1
1589_201905,1
1591_201907,0
1593_201907,0
1594_201905,1
1598_201905,1
1602_201906,0
1604_201906,0
1605_201906,1
1606_201905,0
1607_201905,1
1608_201905,0
1608_201906,0
1610_201906,0
1610_201907,0
1611_201905,0
1612_201907,1
1613_201905,1
1618_201907,0
1628_201905,0
1629_201906,0
1635_201905,1
1636_201905,1
1637_201905,0
1638_201906,1
1643_201906,0
1644_201906,0
1644_201907,0
1645_201906,1
1648_201907,0
1648_201905,0
1649_201905,0
1649_201907,0
1650_201905,0
1658_201905,1
1666_201906,0
1667_201907,1
1669_201905,1
1673_201906,0
1676_201907,0
1677_201905,1
1680_201905,1
1682_201905,0
1682_201906,0
1685_201906,0
1686_201905,0
1688_201905,0
1689_201905,1
1690_201906,0
1691_201907,0
1692_201905,1
1693_201907,0
1694_201907,0
1696_201906,0
1704_201906,1
1705_201906,1
1706_201905,1
1707_201907,1
1708_201905,1
1709_201906,0
1710_201905,0
1710_201907,0
1710_201906,0
1711_201906,0
1714_201907,1
1715_201905,1
1717_201907,0
1718_201905,1
1718_201906,1
1719_201905,1
1719_201907,1
1720_201907,1
1721_201907,1
1722_201906,1
1724_201907,1
1725_201907,0
1726_201906,0
1727_201906,1
1730_201907,1
1731_201907,0
1731_201906,1
1734_201905,1
1735_201905,0
1737_201907,0
1738_201906,0
1738_201907,0
1741_201907,0
1742_201907,0
1744_201905,1
1744_201906,1
1746_201907,1
1747_201907,1
1748_201906,0
1749_201907,1
1752_201907,0
1753_201907,0
1755_201907,0
1755_201906,0
1758_201905,0
1758_201906,0
1760_201907,0
1763_201905,0
1764_201905,0
1765_201905,0
1768_201905,0
1768_201907,1
1768_201906,1
1769_201906,1
1771_201905,1
1773_201907,0
1778_201905,0
1779_201907,0
1780_201907,0
1783_201906,0
1783_201907,0
1783_201905,0
1784_201906,1
1786_201906,0
1786_201907,0
1788_201906,1
1791_201907,0
1792_201905,0
1792_201907,1
1794_201906,0
1798_201905,0
1798_201906,0
1799_201907,0
1799_201906,0
1799_201905,0
1800_201906,1
1801_201906,0
1802_201905,0
1805_201907,0
1807_201905,0
1810_201905,0
1812_201906,0
1813_201907,0
1818_201906,0
1818_201905,0
1820_201906,1
1822_201907,0
1823_201907,0
1824_201907,0
1827_201906,0
1827_201907,0
1830_201907,1
1832_201907,0
1832_201905,1
1834_201905,0
1835_201905,1
1837_201907,0
1840_201906,0
1841_201907,1
1842_201907,1
1844_201906,0
1847_201906,0
1850_201905,0
1851_201905,0
1853_201906,0
1854_201905,1
1854_201906,1
1855_201907,0
1856_201907,0
1858_201907,0
1859_201907,0
1862_201905,1
1864_201905,1
1864_201906,1
1866_201907,1
1866_201906,1
1871_201905,0
1873_201905,0
1874_201906,1
1874_201905,1
1876_201905,1
1877_201905,0
1878_201906,0
1878_201905,0
1879_201905,1
1880_201905,1
1884_201905,0
1884_201907,0
1884_201906,0
1886_201907,1
1889_201905,0
1890_201907,0
1893_201905,1
1894_201907,0
1895_201905,1
1896_201907,1
1900_201906,0
1905_201906,0
1906_201905,0
1907_201907,1
1907_201905,1
1908_201907,0
1909_201905,1
1910_201907,1
1911_201905,0
1912_201907,0
1913_201905,0
1915_201905,1
1919_201905,1
1920_201905,1
1921_201906,1
1922_201905,0
1924_201907,0
1927_201906,0
1928_201906,1
1930_201905,1
1932_201905,0
1934_201905,0
1937_201906,1
1938_201905,0
1938_201907,0
1939_201906,0
1941_201906,0
1943_201906,0
1943_201905,0
1945_201906,1
1945_201905,1
1947_201905,1
1948_201907,0
1948_201905,0
1949_201906,1
1950_201906,0
1953_201905,1
1954_201906,1
1955_201906,0
1955_201905,0
1956_201906,0
1957_201907,0
1959_201907,0
1960_201905,1
1961_201906,0
1962_201906,0
1962_201907,0
1963_201907,1
1967_201905,1
1967_201907,1
1970_201906,0
1973_201905,1
1973_201906,1
1974_201906,1
1975_201907,0
1976_201906,1
1976_201905,1
1978_201906,1
1978_201907,1
1981_201906,1
1982_201906,1
1983_201905,1
1984_201905,1
1986_201905,0
1989_201907,0
1989_201906,0
1990_201905,1
1993_201905,0
1994_201906,1
1996_201905,1
1996_201906,0
1998_201907,1
1998_201906,1
1999_201905,0
1999_201907,0
2000_201907,1
2001_201906,0
2001_201905,0
2002_201905,0
2004_201906,0
2004_201907,0
2008_201905,0
2009_201906,0
2009_201907,0
2010_201905,0
2011_201906,0
2011_201905,0
2013_201907,1
2015_201906,0
2016_201906,1
2016_201907,1
2020_201907,1
2023_201906,0
2027_201906,0
2027_201907,0
2027_201905,0
2030_201905,0
2032_201907,1
2034_201907,0
2034_201906,0
2035_201905,1
2037_201907,1
2039_201907,0
2040_201906,0
2041_201905,1
2043_201906,0
2045_201905,1
2048_201905,1
2051_201907,0
2054_201905,1
2056_201905,0
2056_201906,0
2057_201905,1
2059_201907,0
2060_201907,1
2060_201906,1
2061_201907,1
2061_201906,1
2061_201905,1
2064_201907,1
2064_201906,1
2064_201905,1
2065_201906,0
2065_201907,0
2067_201906,0
2069_201905,0
2070_201905,1
2072_201906,1
2073_201906,0
2075_201906,0
2081_201907,1
2083_201905,0
2083_201906,0
2084_201907,0
2087_201905,1
2092_201906,1
2094_201907,0
2095_201905,1
2097_201905,1
2098_201905,1
2099_201906,1
2101_201906,0
2103_201906,1
2104_201905,1
2105_201906,0
2112_201906,1
2116_201905,0
2117_201905,1
2120_201907,1
2121_201905,1
2127_201907,1
2129_201905,0
2130_201905,1
2132_201906,0
2132_201905,0
2133_201906,0
2133_201905,1
2136_201905,1
2137_201906,0
2138_201907,1
2139_201906,1
2140_201906,0
2141_201905,0
2142_201905,1
2144_201905,1
2145_201905,0
2147_201907,1
2148_201907,1
2152_201907,0
2153_201907,0
2156_201907,0
2159_201905,1
2160_201905,1
2163_201906,1
2164_201906,0
2164_201907,0
2165_201906,1
2166_201905,1
2168_201906,0
2170_201907,1
2172_201906,0
2177_201905,1
2177_201906,1
2180_201905,0
2181_201905,0
2182_201907,1
2183_201905,0
2183_201907,1
2184_201907,0
2184_201906,1
2185_201907,1
2186_201906,0
2186_201907,0
2188_201906,1
2189_201906,1
2190_201907,1
2191_201905,1
2193_201906,0
2194_201905,1
2198_201905,1
2199_201906,0
2201_201905,1
2203_201905,1
2204_201907,0
2208_201907,0
2209_201905,1
2210_201905,1
2211_201905,0
2213_201907,0
2220_201907,0
2224_201907,0
2224_201905,0
2225_201905,1
2227_201907,0
2227_201905,0
2227_201906,0
2228_201907,0
2230_201905,0
2230_201906,1
2233_201906,0
2234_201906,1
2236_201905,0
2237_201906,0
2240_201905,1
2242_201907,0
2243_201906,1
2243_201905,1
2245_201906,0
2245_201905,0
2246_201907,1
2250_201905,0
2250_201907,0
2252_201907,0
2252_201906,0
2253_201907,0
2256_201907,0
2257_201907,1
2259_201906,0
2260_201905,0
2265_201906,1
2267_201905,1
2268_201906,0
2268_201905,0
2270_201907,1
2271_201906,1
2272_201906,0
2274_201906,1
2275_201906,0
2279_201907,0
2281_201907,1
2283_201905,1
2284_201905,1
2287_201905,1
2289_201907,1
2291_201906,0
2292_201905,1
2293_201905,1
2296_201907,1
2299_201905,1
2300_201905,0
2301_201906,0
2304_201906,1
2304_201905,1
2307_201906,0
2311_201907,1
2311_201906,1
2311_201905,1
2312_201906,1
2315_201905,0
2315_201907,0
2316_201905,1
2317_201905,1
2317_201907,1
2317_201906,1
2319_201907,0
2321_201907,0
2324_201907,1
2325_201905,1
2325_201907,0
2325_201906,1
2326_201905,1
2327_201905,1
2329_201905,0
2330_201907,1
2331_201906,0
2333_201906,0
2334_201905,1
2335_201905,1
2340_201905,0
2341_201905,0
2342_201905,1
2343_201906,0
2349_201906,1
2352_201905,1
2353_201905,0
2357_201906,1
2358_201905,0
2361_201906,0
2361_201907,0
2362_201905,0
2363_201906,0
2363_201905,0
2364_201907,0
2365_201905,0
2367_201907,0
2368_201907,1
2369_201905,0
2370_201906,1
2371_201905,0
2371_201906,0
2372_201907,1
2373_201905,0
2373_201907,0
2375_201905,1
2376_201906,0
2378_201906,1
2382_201907,0
2387_201906,0
2387_201907,0
2388_201907,0
2389_201905,0
2390_201906,1
2390_201905,1
2392_201907,0
2398_201906,0
2399_201905,0
2403_201907,0
2407_201906,0
2411_201907,1
2412_201907,1
2417_201905,0
2418_201906,0
2420_201905,1
2428_201907,0
2430_201905,1
2431_201905,0
2432_201907,0
2433_201907,1
2434_201907,0
2435_201906,1
2435_201905,1
2438_201907,1
2439_201906,1
2442_201905,1
2443_201905,0
2445_201907,0
2448_201907,0
2453_201907,0
2454_201907,1
2456_201905,0
2460_201906,1
2461_201906,0
2461_201907,0
2463_201905,1
2464_201907,1
2464_201905,1
2465_201906,0
2468_201906,0
2468_201907,0
2469_201906,0
2470_201905,0
2470_201907,1
2471_201905,1
2473_201905,0
2474_201907,0
2477_201907,1
2478_201906,1
2478_201907,1
2479_201907,0
2480_201905,1
2481_201906,1
2482_201907,1
2485_201906,1
2487_201906,1
2488_201905,1
2488_201906,1
2490_201905,1
2491_201905,1
2495_201906,1
2496_201905,1
2498_201905,1
2500_201907,1
2501_201906,1
2504_201907,0
2507_201907,0
2511_201907,0
2515_201905,1
2516_201907,1
2519_201907,0
2523_201905,1
2524_201905,1
2527_201905,1
2527_201907,0
2528_201905,1
2528_201906,1
2528_201907,1
2530_201905,1
2530_201906,1
2535_201905,1
2536_201905,1
2537_201905,1
2540_201906,0
2540_201907,0
2540_201905,0
2541_201906,1
2541_201905,0
2542_201907,1
2543_201907,1
2545_201905,1
2545_201907,1
2548_201907,1
2548_201905,1
2548_201906,1
2549_201906,1
2551_201906,1
2552_201905,0
2553_201905,1
2554_201907,0
2558_201905,0
2560_201906,1
2561_201906,0
2562_201906,0
2563_201907,1
2565_201906,1
2567_201905,0
2569_201906,0
2573_201907,0
2574_201906,0
2575_201907,1
2576_201906,1
2577_201907,1
2579_201905,1
2583_201905,1
2584_201907,1
2585_201907,1
2591_201907,1
2592_201905,0
2593_201907,1
2595_201907,1
2597_201905,1
2599_201907,1
2601_201906,1
2604_201907,1
2608_201905,0
2609_201905,1
2610_201906,0
2610_201907,1
2612_201907,1
2613_201905,0
2613_201907,0
2614_201906,1
2614_201907,1
2614_201905,1
2615_201907,1
2616_201905,1
2617_201906,0
2618_201905,0
2621_201907,0
2622_201907,0
2624_201907,0
2625_201907,0
2627_201907,1
2628_201905,0
2629_201906,0
2630_201905,1
2632_201905,1
2633_201907,1
2636_201906,0
2636_201907,0
2637_201905,1
2639_201905,0
2641_201905,1
2643_201905,1
2644_201905,1
2645_201907,1
2647_201906,1
2651_201907,1
2651_201906,1
2652_201905,1
2655_201905,1
2656_201907,0
2657_201907,0
2659_201905,1
2662_201905,1
2664_201907,1
2667_201905,1
2669_201905,1
2669_201906,1
2670_201906,1
2672_201907,1
2674_201905,0
2682_201906,0
2684_201905,1
2687_201905,0
2688_201907,0
2694_201906,1
2704_201905,0
2705_201906,0
2708_201907,0
2709_201907,0
2710_201905,1
2711_201906,1
2713_201907,0
2714_201907,1
2714_201905,0
2716_201907,0
2719_201905,1
2720_201905,1
2721_201905,1
2722_201906,0
2723_201905,1
2724_201905,0
2724_201907,0
2725_201907,1
2728_201907,1
2729_201906,0
2730_201905,1
2730_201906,1
2731_201906,0
2733_201905,0
2734_201905,1
2735_201907,1
2736_201907,0
2737_201906,0
2738_201905,0
2739_201905,1
2742_201907,1
2742_201905,1
2744_201906,1
2745_201905,1
2748_201906,1
2749_201907,1
2752_201907,1
2755_201906,0
2757_201905,1
2758_201905,1
2760_201905,1
2760_201907,1
2761_201906,0
2763_201907,1
2765_201906,1
2765_201905,1
2766_201906,0
2767_201907,0
2769_201906,1
2772_201905,0
2773_201907,1
2774_201907,0
2775_201906,0
2778_201905,0
2783_201906,1
2784_201906,1
2791_201905,0
2791_201906,1
2792_201906,0
2794_201907,1
2795_201907,1
2795_201906,1
2795_201905,1
2796_201907,0
2798_201906,1
2799_201907,1
2800_201906,0
2803_201906,1
2804_201907,0
2808_201906,1
2808_201907,1
2809_201907,1
2810_201905,1
2811_201905,1
2815_201905,1
2816_201906,0
2817_201907,1
2818_201907,1
2818_201905,1
2819_201906,0
2820_201906,0
2820_201907,0
2821_201906,1
2823_201905,0
2825_201906,0
2830_201905,1
2831_201907,1
2834_201907,1
2835_201905,1
2836_201905,0
2838_201906,0
2839_201906,0
2842_201905,1
2845_201907,1
2846_201907,1
2847_201906,1
2849_201906,1
2856_201905,1
2858_201906,1
2858_201905,1
2859_201906,1
2861_201906,1
2862_201906,0
2864_201907,0
2868_201905,1
2869_201905,1
2869_201907,0
2870_201905,1
2871_201907,1
2872_201907,1
2872_201906,1
2873_201907,1
2873_201905,1
2874_201907,1
2875_201905,0
2875_201906,0
2876_201907,0
2885_201907,0
2885_201905,0
2886_201905,0
2886_201907,0
2888_201905,1
2889_201905,1
2890_201907,1
2890_201906,1
2891_201905,1
2893_201907,1
2894_201906,1
2895_201907,0
2898_201907,0
2898_201905,0
2899_201905,1
2900_201905,1
2902_201905,1
2911_201905,1
2911_201907,1
2912_201907,0
2913_201906,0
2914_201906,0
2916_201905,0
2917_201905,1
2918_201907,1
2919_201905,0
2921_201906,1
2922_201907,1
2926_201905,1
2927_201907,1
